id,buttonLabel,speechText
arm,ARM,Arm
disarm,DISARM,Disarm
vtx_power,ПОТУЖНІСТЬ VTX,VTX power
battery,БАТАРЕЯ,Battery
camera_0,КАМЕРА 0,Camera zero
camera_45,КАМЕРА 45,Camera forty five
camera_90,КАМЕРА 90,Camera ninety
control_invert,ІНВЕРСІЯ КЕРУВАННЯ,Control inversion
falling_throttle_up,МИ ПАДАЄМО ДАЙ ГАЗ ВГОРУ,We are falling. Throttle up
shaking_throttle_up,ДРОН ТРЯСЕ THROTTLE ВГОРУ,Drone is shaking. Throttle up
throttle_up_large,,Throttle up very hard
throttle_up_medium,,Throttle up harder
throttle_up_small,,Throttle up a little
throttle_90,THROTTLE 90,Throttle ninety
throttle_60,THROTTLE 60,Throttle sixty
throttle_down_small,,Throttle down a little
throttle_down_medium,,Throttle down harder
throttle_down_large,,Throttle down very hard
throttle_down_slow,ПОВІЛЬНО ВНИЗ THROTTLE,Throttle down slowly
throttle_low,МАЛО THROTTLE,Low Throttle
throttle_high,БАГАТО THROTTLE,High Throttle
yaw_left_large,,Yaw left very hard
yaw_left_medium,,Yaw left harder
yaw_left_small,,Yaw left a little
turn_left,ПОВЕРТАЄМО ЛІВОРУЧ,Turning left
yaw_right_small,,Yaw right a little
yaw_right_medium,,Yaw right harder
yaw_right_large,,Yaw right very hard
turn_right,ПОВЕРТАЄМО ПРАВОРУЧ,Turning right
dont_climb_fast,НЕ НАБИРАЙ ШВИДКО ВИСОТУ,Do not climb fast
altitude_500,ВИСОТА 500,Altitude five hundred
altitude_300,ВИСОТА 300,Altitude three hundred
altitude_200,ВИСОТА 200,Altitude two hundred
hold_altitude,ТРИМАЙ ВИСОТУ,Hold altitude
dont_fly_backwards,НЕ ЛІТАЙ ЗАДОМ,Do not fly backwards
level_horizon,ВИРІВНЯЙ ГОРИЗОНТ,Level the horizon
raise_nose,ПІДНІМИ НІС ДРОНА,Raise the drone nose
pitch_up_large,,Pitch up very hard
pitch_up_medium,,Pitch up harder
pitch_up_small,,Pitch up a little
pitch_down_small,,Pitch down a little
pitch_down_medium,,Pitch down harder
pitch_down_large,,Pitch down very hard
fly_forward,ТРЕБА ЛЕТІТИ ВПЕРЕД,You need to fly forward
pitch_forward,PITCH ВПЕРЕД,Pitch forward
roll_right_small,,Roll right a little
roll_right_medium,,Roll right hard
roll_right_large,,Roll right very hard
drone_tilted,ДРОН НАХИЛЕНИЙ,Drone is tilted
pitch_back,PITCH НАЗАД,Pitch back
roll_left_large,,Roll left very hard
roll_left_medium,,Roll left hard
roll_left_small,,Roll left a little
